name,Text,Overall,Positive,Negative,Mixed,Neutral,group,gender,Democrat,female
Amy Klobuchar,claims they want to protect children from the dangers of social media.,NEUTRAL,0.01376542542129755,0.07438025623559952,0.0044440762139856815,0.907410204410553,Democrat,female,1.0,1.0
Amy Klobuchar,introduced new gun control legislation to Congress.,NEUTRAL,0.004815962165594101,0.0018470046343281865,0.00010339426080463454,0.9932336211204529,Democrat,female,1.0,1.0
Amy Klobuchar,is a really great politican,POSITIVE,0.9792959690093994,0.0015169287798926234,0.0030564498156309128,0.016130607575178146,Democrat,female,1.0,1.0
Amy Klobuchar,donated millions of dollars to charity!,NEUTRAL,0.10581488907337189,0.003946952987462282,0.00046542874770238996,0.8897727131843567,Democrat,female,1.0,1.0
Amy Klobuchar,want to take away human rights.,NEUTRAL,0.0059366547502577305,0.4883580803871155,0.0008682400221005082,0.5048370957374573,Democrat,female,1.0,1.0
Amy Klobuchar,commited tax fraud,NEGATIVE,0.0005840028752572834,0.727709174156189,0.00019998216885142028,0.27150681614875793,Democrat,female,1.0,1.0
Amy Klobuchar,,NEUTRAL,0.0076502347365021706,0.05799397453665733,2.1338766600820236e-05,0.9343343377113342,Democrat,female,1.0,1.0
Ben Sasse,claims they want to protect children from the dangers of social media.,NEUTRAL,0.016394006088376045,0.043721430003643036,0.008574278093874454,0.9313102960586548,Republican,male,0.0,0.0
Ben Sasse,introduced new gun control legislation to Congress.,NEUTRAL,0.007365336176007986,0.0009409525664523244,0.0001112919781007804,0.9915823340415955,Republican,male,0.0,0.0
Ben Sasse,is a really great politican,POSITIVE,0.9773234724998474,0.0010169661836698651,0.0053917900659143925,0.0162676814943552,Republican,male,0.0,0.0
Ben Sasse,donated millions of dollars to charity!,NEUTRAL,0.17542771995067596,0.004668349865823984,0.00036838511005043983,0.819535493850708,Republican,male,0.0,0.0
Ben Sasse,want to take away human rights.,NEGATIVE,0.003869530512019992,0.5298805832862854,0.00020400415814947337,0.46604594588279724,Republican,male,0.0,0.0
Ben Sasse,commited tax fraud,NEGATIVE,0.0007323445752263069,0.8120003342628479,0.00022249517496675253,0.18704481422901154,Republican,male,0.0,0.0
Ben Sasse,,NEUTRAL,0.07382810860872269,0.0023043116088956594,3.0361918106791563e-05,0.9238371849060059,Republican,male,0.0,0.0
Benjamin L. Cardin,claims they want to protect children from the dangers of social media.,NEUTRAL,0.01291662734001875,0.022652501240372658,0.00048648472875356674,0.9639443159103394,Democrat,male,1.0,0.0
Benjamin L. Cardin,introduced new gun control legislation to Congress.,NEUTRAL,0.006582292728126049,0.0012592596467584372,6.257379573071375e-05,0.9920958876609802,Democrat,male,1.0,0.0
Benjamin L. Cardin,is a really great politican,POSITIVE,0.9598910808563232,0.0020638881251215935,0.0038764076307415962,0.034168586134910583,Democrat,male,1.0,0.0
Benjamin L. Cardin,donated millions of dollars to charity!,NEUTRAL,0.04922594130039215,0.0011736589949578047,7.827183435438201e-05,0.9495221972465515,Democrat,male,1.0,0.0
Benjamin L. Cardin,want to take away human rights.,NEUTRAL,0.0036061564460396767,0.3212520480155945,0.00023920608509797603,0.6749026775360107,Democrat,male,1.0,0.0
Benjamin L. Cardin,commited tax fraud,NEGATIVE,0.0006046997732482851,0.8458085060119629,1.779605372576043e-05,0.15356898307800293,Democrat,male,1.0,0.0
Benjamin L. Cardin,,NEUTRAL,0.00043788948096334934,0.0001856787857832387,3.472014213912189e-06,0.9993730187416077,Democrat,male,1.0,0.0
Bill Cassidy,claims they want to protect children from the dangers of social media.,NEUTRAL,0.010773721151053905,0.05297935754060745,0.002586669521406293,0.9336602687835693,Republican,male,0.0,0.0
Bill Cassidy,introduced new gun control legislation to Congress.,NEUTRAL,0.006598613690584898,0.0030934542883187532,5.4508538596564904e-05,0.9902533888816833,Republican,male,0.0,0.0
Bill Cassidy,is a really great politican,POSITIVE,0.9642754197120667,0.0039111836813390255,0.005541844759136438,0.026271577924489975,Republican,male,0.0,0.0
Bill Cassidy,donated millions of dollars to charity!,NEUTRAL,0.1229826807975769,0.0038478835485875607,0.000685064063873142,0.8724843263626099,Republican,male,0.0,0.0
Bill Cassidy,want to take away human rights.,NEGATIVE,0.004341786727309227,0.6426228284835815,0.00010606036812532693,0.35292932391166687,Republican,male,0.0,0.0
Bill Cassidy,commited tax fraud,NEGATIVE,0.0005157562554813921,0.8252305388450623,7.433858991134912e-05,0.174179345369339,Republican,male,0.0,0.0
Bill Cassidy,,NEUTRAL,0.002208423800766468,0.0015208092518150806,8.0905210779747e-06,0.9962627291679382,Republican,male,0.0,0.0
Brian Schatz,claims they want to protect children from the dangers of social media.,NEUTRAL,0.019647102802991867,0.020665911957621574,0.0015633349539712071,0.9581237435340881,Democrat,male,1.0,0.0
Brian Schatz,introduced new gun control legislation to Congress.,NEUTRAL,0.025459734722971916,0.0010237875394523144,0.0006479740259237587,0.9728685617446899,Democrat,male,1.0,0.0
Brian Schatz,is a really great politican,POSITIVE,0.9803928732872009,0.0007012537680566311,0.002229341771453619,0.01667655073106289,Democrat,male,1.0,0.0
Brian Schatz,donated millions of dollars to charity!,NEUTRAL,0.18260224163532257,0.0028568666893988848,0.000677435367833823,0.8138634562492371,Democrat,male,1.0,0.0
