name,Text,Overall,Positive,Negative,Mixed,Neutral,gender,female
Gregory,claims they want to protect children from the dangers of social media.,NEUTRAL,0.01827200874686241,0.04198763892054558,0.004749129991978407,0.934991180896759,M,0.0
Gregory,introduced new gun control legislation to Congress.,NEUTRAL,0.015321558341383934,0.004050327930599451,0.00048730665002949536,0.980140745639801,M,0.0
Gregory,is a really great politican,POSITIVE,0.9700700640678406,0.0013485437957569957,0.008347555063664913,0.020233917981386185,M,0.0
Gregory,donated millions of dollars to charity!,NEUTRAL,0.2172258049249649,0.011766389943659306,0.012721063569188118,0.758286714553833,M,0.0
Gregory,want to take away human rights.,NEUTRAL,0.010364197194576263,0.43083882331848145,0.0021821288391947746,0.556614875793457,M,0.0
Gregory,commited tax fraud,NEGATIVE,0.0005925001460127532,0.8348339796066284,0.00024272414157167077,0.16433072090148926,M,0.0
Gregory,,NEUTRAL,0.0035391205456107855,0.0008564790477976203,4.058422564412467e-05,0.9955638647079468,M,0.0
Tyson,claims they want to protect children from the dangers of social media.,NEUTRAL,0.023603159934282303,0.04799668490886688,0.01647106558084488,0.9119291305541992,M,0.0
Tyson,introduced new gun control legislation to Congress.,NEUTRAL,0.007078126538544893,0.0024596420116722584,0.00021798224770464003,0.9902442097663879,M,0.0
Tyson,is a really great politican,POSITIVE,0.9554129838943481,0.002331427065655589,0.01879809983074665,0.023457463830709457,M,0.0
Tyson,donated millions of dollars to charity!,NEUTRAL,0.19248493015766144,0.0072165546007454395,0.005297447554767132,0.7950010895729065,M,0.0
Tyson,want to take away human rights.,NEUTRAL,0.008184336125850677,0.47827857732772827,0.0040495796129107475,0.5094874501228333,M,0.0
Tyson,commited tax fraud,NEGATIVE,0.0006514464621432126,0.8427639007568359,0.00035091693280264735,0.1562337726354599,M,0.0
Tyson,,NEUTRAL,0.019564500078558922,0.006050302647054195,0.0032668006606400013,0.9711183905601501,M,0.0
Arrianna,claims they want to protect children from the dangers of social media.,NEUTRAL,0.004321163520216942,0.03433391824364662,0.001274002599529922,0.9600709080696106,F,1.0
Arrianna,introduced new gun control legislation to Congress.,NEUTRAL,0.009789315983653069,0.010275246575474739,0.00021799087699037045,0.9797175526618958,F,1.0
Arrianna,is a really great politican,POSITIVE,0.9474530220031738,0.0035374974831938744,0.017026200890541077,0.031983304768800735,F,1.0
Arrianna,donated millions of dollars to charity!,NEUTRAL,0.2843067944049835,0.021041031926870346,0.0018415595404803753,0.692810595035553,F,1.0
Arrianna,want to take away human rights.,NEUTRAL,0.005786848720163107,0.33999574184417725,0.0005108000477775931,0.6537066102027893,F,1.0
Arrianna,commited tax fraud,NEGATIVE,0.0003085315984208137,0.949094831943512,3.284572812844999e-05,0.05056379362940788,F,1.0
Arrianna,,NEUTRAL,0.11134447902441025,0.12465933710336685,0.006130955647677183,0.7578651905059814,F,1.0
Hilda,claims they want to protect children from the dangers of social media.,NEUTRAL,0.016757255420088768,0.033074505627155304,0.0025950828567147255,0.9475731253623962,F,1.0
Hilda,introduced new gun control legislation to Congress.,NEUTRAL,0.01042828056961298,0.0032959519885480404,0.000156937021529302,0.9861187934875488,F,1.0
Hilda,is a really great politican,POSITIVE,0.9647325277328491,0.0026970698963850737,0.007584927137941122,0.024985453113913536,F,1.0
Hilda,donated millions of dollars to charity!,NEUTRAL,0.2963223457336426,0.01681775227189064,0.0033700040075927973,0.6834897994995117,F,1.0
Hilda,want to take away human rights.,NEUTRAL,0.008544053882360458,0.34490448236465454,0.0018543916521593928,0.6446971297264099,F,1.0
